sel;sta;tip;ny;name;uhom;pn;qn;pg;qg;vzd;qmin;qmax;bsh;vras;delta;npa;Ysh
0;0;1;1347;Onda-110;110;120.0;113.0;;;;;;200.0;121.03;0.60;0;+J200
0;0;1;1349;Bologoe2;110;49.0;27.0;;;;;;;117.20;1.29;0;100
0;0;1;319;Kir-330;330;822.0;200.0;;;;;;500.0;352.10;9.26;0;+J500
0;0;1;347;Onda;330;;;;;;;;220.0;328.45;1.21;0;10+J220
0;0;1;349;Bologoe1;330;;;;;;;;;336.73;2.27;0;
0;0;1;392;Tupik;330;490.0;50.0;;;;;;-555.0;323.23;-9.32;0;-J555
0;0;2;1319;Station1;21;55.0;40.0;1700.0;767.3;21.2;-100.0;1100.0;;21.20;15.68;0;
0;0;2;1320;Station2;6;120.0;40.0;200.0;118.5;6.3;-50.0;600.0;;6.30;3.66;0;
0;0;0;330;Balanced;330;;;-156.4;-72.8;;;;;330.00;;0;
0;0;1;2201;Inverter;220;;;;;;;;;219.89;-0.51;0;
0;0;0;2200;BaseDC;220;;;50.1;-3.9;;;;;220.00;;0;
