sel;sta;tip;ip;iq;np;groupid;name;r;x;g;b;ktr;n_anc;bd;pl_ip;ql_ip;na;i_max;i_zag
0;0;1;319;1319;0;0;Kir-330 - Station1;0.22;8.92;;;0.058;0;0;1640;515;0;2818;
0;0;1;347;1347;0;0;Onda - Onda-110;0.80;27.00;;;0.375;0;0;-44;-68;0;143;
0;0;0;349;319;0;0;Bologoe1 - Kir-330;1.79;18.24;;-192.0;;0;0;807;167;0;1413;
0;0;0;349;330;0;0;Bologoe1 - Balanced;3.53;29.30;;-344.0;;0;0;-157;-42;0;302;
0;0;0;349;347;0;0;Bologoe1 - Onda;4.14;25.30;;-261.0;;0;0;-96;-81;0;250;
0;0;0;349;392;0;0;Bologoe1 - Tupik;7.29;44.11;;-465.0;;0;0;-507;-43;0;875;
0;0;1;349;1349;0;0;Bologoe1 - Bologoe2;1.50;41.20;;;0.348;0;0;-47;-1;0;81;
0;0;1;1347;1320;0;0;Onda-110 - Station2;0.48;10.80;;;0.049;0;0;80;70;0;506;
0;0;0;1347;1349;0;0;Onda-110 - Bologoe2;9.90;17.70;;-449.0;;0;0;-4;-21;0;131;
0;0;0;2200;2201;0;0;BaseDC - Inverter;1.20;8.50;;;;0;0;-50;4;0;132;
